type,price,beds,bath,propertysqft,street_name,latitude,longitude,zip_code,city
townhouse for sale,575000,4,2.0,1330.0,brooklyn,40.6683511,-73.8757315,11208,brooklyn
house for sale,575000,4,2.0,1604.0,brooklyn,40.6740009,-73.8743074,11208,brooklyn
multi-family home for sale,580000,5,2.0,1780.0,brooklyn,40.5874424,-73.9675716,11235,brooklyn
house for sale,580000,6,3.0,2940.0,brooklyn,40.6609696,-73.9111929,11212,brooklyn
house for sale,580880,4,2.0,1504.0,brooklyn,40.6492194,-73.933307,11203,brooklyn
house for sale,588000,3,1.0,1080.0,brooklyn,40.5887247,-73.9208494,11229,brooklyn
house for sale,589000,3,2.0,1120.0,brooklyn,40.6697595,-73.8692311,11208,brooklyn
house for sale,589000,3,2.0,1320.0,brooklyn,40.5905162,-73.9233755,11229,brooklyn
multi-family home for sale,589000,3,2.373860858,1560.0,brooklyn,40.6758932,-73.8787634,11208,brooklyn
house for sale,594900,3,2.0,1224.0,brooklyn,40.63818,-73.9071525,11236,brooklyn
house for sale,595000,3,1.0,1316.0,brooklyn,40.6239146,-73.9291226,11234,brooklyn
multi-family home for sale,599000,5,2.0,2268.0,brooklyn,40.6835248,-73.9141078,11233,brooklyn
multi-family home for sale,599999,6,2.0,3490.0,brooklyn,40.6649303,-73.8670719,11208,brooklyn
multi-family home for sale,599999,4,2.0,2184.207862,brooklyn,40.6647996,-73.868117,11208,brooklyn
house for sale,599999,3,2.0,2184.207862,brooklyn,40.6494096,-73.9332856,11203,brooklyn
house for sale,599999,3,2.0,1340.0,brooklyn,40.6677486,-73.9134481,11212,brooklyn
house for sale,615000,3,2.0,2184.207862,brooklyn,40.6610456,-73.9019953,11212,brownville
house for sale,619999,3,2.0,2184.207862,brooklyn,40.6603335,-73.9008479,11212,brownville
multi-family home for sale,625000,5,2.373860858,2184.207862,brooklyn,40.679665,-73.8819497,11208,brooklyn
multi-family home for sale,625000,5,2.0,2184.207862,brooklyn,40.6921071,-73.9400823,11221,brooklyn
house for sale,625000,4,2.0,2184.207862,brooklyn,40.6283989,-73.9334448,11234,brooklyn
house for sale,635000,3,2.0,1200.0,brooklyn,40.6322163,-73.894288,11236,brooklyn
house for sale,639000,2,2.0,862.0,brooklyn,40.6175251,-73.9255226,11234,brooklyn
house for sale,639000,3,2.0,2184.207862,brooklyn,40.6214608,-73.905805,11234,brooklyn
condo for sale,6750000,3,3.0,3000.0,manhattan,40.7476234,-74.0057263,10011,new york
condo for sale,6750000,2,2.0,2320.0,manhattan,40.7537586,-74.003221,10001,new york
house for sale,649000,3,2.0,1064.0,brooklyn,40.6215026,-73.9066372,11234,brooklyn
house for sale,649000,3,2.0,1257.0,brooklyn,40.6499215,-73.9453734,11203,brooklyn
house for sale,649000,3,2.0,1188.0,brooklyn,40.610384,-73.910535,11234,brooklyn
house for sale,650000,5,3.0,2184.207862,brooklyn,40.677921,-73.9277691,11233,brooklyn
house for sale,650000,4,2.0,1482.0,brooklyn,40.6503361,-73.9440072,11203,brooklyn
condo for sale,6500000,3,4.0,2190.0,manhattan,40.746995,-73.989381,10001,new york
co-op for sale,669000,3,2.0,1480.0,brooklyn,40.5894827,-73.9395372,11235,brooklyn
